Date,Maine,New Hampshire,Vermont,Massachusetts,Connecticut,Rhode Island,,,,,,,,,
2/24/23,0.106508876,0.100591716,0.050295858,0.455621302,0.224852071,0.062130178,,,,,,,,,
2/25/23,0.103351955,0.097765363,0.05027933,0.452513966,0.231843575,0.06424581,,,,,,,,,
2/26/23,0.110144928,0.098550725,0.049275362,0.452173913,0.228985507,0.060869565,,,,,,,,,
2/27/23,0.109144543,0.100294985,0.04719764,0.454277286,0.227138643,0.061946903,,,,,,,,,
2/28/23,0.103151862,0.097421203,0.045845272,0.455587393,0.23495702,0.063037249,,,,,,,,,
3/1/23,0.103975535,0.097859327,0.04587156,0.449541284,0.23853211,0.064220183,,,,,,,,,
3/2/23,0.104294479,0.098159509,0.049079755,0.45398773,0.23006135,0.064417178,,,,,,,,,
3/3/23,0.100649351,0.097402597,0.045454545,0.457792208,0.233766234,0.064935065,,,,,,,,,
3/4/23,0.102236422,0.095846645,0.047923323,0.460063898,0.230031949,0.063897764,,,,,,,,,
3/5/23,0.10472973,0.097972973,0.047297297,0.462837838,0.222972973,0.064189189,,,,,,,,,
3/6/23,0.101973684,0.101973684,0.042763158,0.460526316,0.226973684,0.065789474,,,,,,,,,
3/7/23,0.101587302,0.101587302,0.047619048,0.457142857,0.225396825,0.066666667,,,,,,,,,
3/8/23,0.097484277,0.100628931,0.047169811,0.455974843,0.232704403,0.066037736,,,,,,,,,
3/9/23,0.102310231,0.102310231,0.04620462,0.452145215,0.231023102,0.066006601,,,,,,,,,
3/10/23,0.100671141,0.100671141,0.043624161,0.453020134,0.238255034,0.063758389,,,,,,,,,
3/11/23,0.100334448,0.096989967,0.046822742,0.45819398,0.234113712,0.063545151,,,,,,,,,
3/12/23,0.103202847,0.099644128,0.042704626,0.459074733,0.231316726,0.06405694,,,,,,,,,
3/13/23,0.097791798,0.097791798,0.047318612,0.457413249,0.233438486,0.066246057,,,,,,,,,
3/14/23,0.098765432,0.092592593,0.046296296,0.459876543,0.237654321,0.064814815,,,,,,,,,
3/15/23,0.096875,0.09375,0.046875,0.4625,0.234375,0.065625,,,,,,,,,
3/16/23,0.097087379,0.100323625,0.048543689,0.45631068,0.233009709,0.064724919,,,,,,,,,
3/17/23,0.1,0.1,0.05,0.456666667,0.23,0.063333333,,,,,,,,,
3/18/23,0.104477612,0.100746269,0.048507463,0.455223881,0.223880597,0.067164179,,,,,,,,,
3/19/23,0.105263158,0.101754386,0.049122807,0.452631579,0.228070175,0.063157895,,,,,,,,,
3/20/23,0.102990033,0.099667774,0.043189369,0.455149502,0.23255814,0.066445183,,,,,,,,,
3/21/23,0.103092784,0.103092784,0.04467354,0.453608247,0.23024055,0.065292096,,,,,,,,,
3/22/23,0.102836879,0.102836879,0.042553191,0.453900709,0.234042553,0.063829787,,,,,,,,,
3/23/23,0.105442177,0.102040816,0.051020408,0.448979592,0.227891156,0.06462585,,,,,,,,,
3/24/23,0.103571429,0.103571429,0.046428571,0.453571429,0.228571429,0.064285714,,,,,,,,,
3/25/23,0.101351351,0.097972973,0.047297297,0.456081081,0.233108108,0.064189189,,,,,,,,,
3/26/23,0.11026616,0.102661597,0.053231939,0.448669202,0.220532319,0.064638783,,,,,,,,,
3/27/23,0.099644128,0.103202847,0.046263345,0.455516014,0.231316726,0.06405694,,,,,,,,,
3/28/23,0.101694915,0.098305085,0.044067797,0.461016949,0.230508475,0.06440678,,,,,,,,,
3/29/23,0.102473498,0.102473498,0.042402827,0.459363958,0.22614841,0.067137809,,,,,,,,,
3/30/23,0.102739726,0.102739726,0.044520548,0.455479452,0.229452055,0.065068493,,,,,,,,,
3/31/23,0.1,0.1,0.046666667,0.453333333,0.236666667,0.063333333,,,,,,,,,
4/1/23,0.104693141,0.101083032,0.0433213,0.458483755,0.227436823,0.064981949,,,,,,,,,
4/2/23,0.106299213,0.106299213,0.039370079,0.452755906,0.228346457,0.066929134,,,,,,,,,
4/3/23,0.102836879,0.102836879,0.042553191,0.457446809,0.230496454,0.063829787,,,,,,,,,
4/4/23,0.105454545,0.105454545,0.047272727,0.450909091,0.225454545,0.065454545,,,,,,,,,
4/5/23,0.105802048,0.102389078,0.04778157,0.453924915,0.225255973,0.064846416,,,,,,,,,
4/6/23,0.105263158,0.101754386,0.045614035,0.456140351,0.228070175,0.063157895,,,,,,,,,
4/7/23,0.101123596,0.104868914,0.041198502,0.460674157,0.224719101,0.06741573,,,,,,,,,
4/8/23,0.108949416,0.101167315,0.038910506,0.459143969,0.225680934,0.06614786,,,,,,,,,
4/9/23,0.108870968,0.10483871,0.040322581,0.455645161,0.225806452,0.064516129,,,,,,,,,
4/10/23,0.101503759,0.101503759,0.037593985,0.462406015,0.229323308,0.067669173,,,,,,,,,
4/11/23,0.101123596,0.101123596,0.04494382,0.460674157,0.228464419,0.063670412,,,,,,,,,
4/12/23,0.1003861,0.1003861,0.038610039,0.463320463,0.231660232,0.065637066,,,,,,,,,
4/13/23,0.091575092,0.098901099,0.036630037,0.468864469,0.238095238,0.065934066,,,,,,,,,
4/14/23,0.087719298,0.098245614,0.035087719,0.470175439,0.242105263,0.066666667,,,,,,,,,
4/15/23,0.093877551,0.097959184,0.036734694,0.457142857,0.244897959,0.069387755,,,,,,,,,
4/16/23,0.102040816,0.097959184,0.036734694,0.457142857,0.236734694,0.069387755,,,,,,,,,
4/17/23,0.102564103,0.098901099,0.047619048,0.454212454,0.230769231,0.065934066,,,,,,,,,
4/18/23,0.101886792,0.101886792,0.045283019,0.456603774,0.230188679,0.064150943,,,,,,,,,
4/19/23,0.101818182,0.101818182,0.047272727,0.454545455,0.229090909,0.065454545,,,,,,,,,
4/20/23,0.103448276,0.103448276,0.038314176,0.455938697,0.233716475,0.0651341,,,,,,,,,
4/21/23,0.106719368,0.102766798,0.039525692,0.458498024,0.225296443,0.067193676,,,,,,,,,
4/22/23,0.1,0.1,0.04,0.464,0.228,0.068,,,,,,,,,
4/23/23,0.103053435,0.099236641,0.045801527,0.461832061,0.22519084,0.064885496,,,,,,,,,
4/24/23,0.111524164,0.100371747,0.044609665,0.453531599,0.223048327,0.066914498,,,,,,,,,
4/25/23,0.112359551,0.101123596,0.041198502,0.453183521,0.228464419,0.063670412,,,,,,,,,
4/26/23,0.107806691,0.100371747,0.040892193,0.457249071,0.226765799,0.066914498,,,,,,,,,
4/27/23,0.102941176,0.099264706,0.040441176,0.455882353,0.235294118,0.066176471,,,,,,,,,
4/28/23,0.1,0.1,0.038461538,0.457692308,0.238461538,0.065384615,,,,,,,,,
4/29/23,0.098425197,0.098425197,0.043307087,0.452755906,0.24015748,0.066929134,,,,,,,,,
4/30/23,0.106463878,0.098859316,0.041825095,0.456273764,0.231939163,0.064638783,,,,,,,,,
5/1/23,0.101503759,0.101503759,0.045112782,0.458646617,0.229323308,0.063909774,,,,,,,,,
5/2/23,0.098540146,0.102189781,0.04379562,0.45620438,0.233576642,0.065693431,,,,,,,,,
5/3/23,0.104693141,0.104693141,0.0433213,0.454873646,0.227436823,0.064981949,,,,,,,,,
5/4/23,0.103202847,0.103202847,0.042704626,0.459074733,0.227758007,0.06405694,,,,,,,,,
5/5/23,0.097378277,0.104868914,0.041198502,0.460674157,0.232209738,0.063670412,,,,,,,,,
5/6/23,0.101694915,0.105932203,0.033898305,0.461864407,0.228813559,0.06779661,,,,,,,,,
5/7/23,0.100840336,0.105042017,0.037815126,0.462184874,0.226890756,0.067226891,,,,,,,,,
5/8/23,0.098859316,0.102661597,0.034220532,0.463878327,0.231939163,0.068441065,,,,,,,,,
5/9/23,0.101960784,0.101960784,0.035294118,0.462745098,0.231372549,0.066666667,,,,,,,,,
5/10/23,0.1003861,0.1003861,0.034749035,0.467181467,0.231660232,0.065637066,,,,,,,,,
5/11/23,0.097014925,0.100746269,0.037313433,0.46641791,0.231343284,0.067164179,,,,,,,,,
5/12/23,0.092857143,0.096428571,0.039285714,0.464285714,0.239285714,0.067857143,,,,,,,,,
5/13/23,0.091954023,0.095785441,0.034482759,0.46743295,0.24137931,0.068965517,,,,,,,,,
5/14/23,0.103448276,0.099137931,0.034482759,0.461206897,0.232758621,0.068965517,,,,,,,,,
5/15/23,0.098859316,0.102661597,0.041825095,0.460076046,0.231939163,0.064638783,,,,,,,,,
5/16/23,0.096296296,0.1,0.040740741,0.462962963,0.233333333,0.066666667,,,,,,,,,
5/17/23,0.101167315,0.101167315,0.042801556,0.459143969,0.229571984,0.06614786,,,,,,,,,
5/18/23,0.101167315,0.105058366,0.038910506,0.459143969,0.229571984,0.06614786,,,,,,,,,
5/19/23,0.100775194,0.100775194,0.03875969,0.46124031,0.23255814,0.065891473,,,,,,,,,
5/20/23,0.096899225,0.096899225,0.042635659,0.465116279,0.23255814,0.065891473,,,,,,,,,
5/21/23,0.101626016,0.101626016,0.040650407,0.463414634,0.227642276,0.06504065,,,,,,,,,
5/22/23,0.098859316,0.098859316,0.038022814,0.456273764,0.239543726,0.068441065,,,,,,,,,
5/23/23,0.096525097,0.104247104,0.038610039,0.459459459,0.235521236,0.065637066,,,,,,,,,
5/24/23,0.100371747,0.100371747,0.044609665,0.457249071,0.230483271,0.066914498,,,,,,,,,
5/25/23,0.099236641,0.103053435,0.041984733,0.461832061,0.229007634,0.064885496,,,,,,,,,
5/26/23,0.101960784,0.101960784,0.039215686,0.458823529,0.231372549,0.066666667,,,,,,,,,
5/27/23,0.102040816,0.102040816,0.036734694,0.46122449,0.228571429,0.069387755,,,,,,,,,
5/28/23,0.101167315,0.105058366,0.035019455,0.46692607,0.225680934,0.06614786,,,,,,,,,
5/29/23,0.099206349,0.103174603,0.035714286,0.46031746,0.234126984,0.067460317,,,,,,,,,
5/30/23,0.098484848,0.102272727,0.037878788,0.458333333,0.234848485,0.068181818,,,,,,,,,
5/31/23,0.096774194,0.107526882,0.039426523,0.462365591,0.229390681,0.064516129,,,,,,,,,
6/1/23,0.090909091,0.106583072,0.037617555,0.470219436,0.228840125,0.065830721,,,,,,,,,
6/2/23,0.089020772,0.100890208,0.038575668,0.46884273,0.237388724,0.065281899,,,,,,,,,
6/3/23,0.102661597,0.098859316,0.041825095,0.452471483,0.239543726,0.064638783,,,,,,,,,
6/4/23,0.111553785,0.099601594,0.043824701,0.450199203,0.227091633,0.067729084,,,,,,,,,
6/5/23,0.102941176,0.099264706,0.040441176,0.459558824,0.231617647,0.066176471,,,,,,,,,
6/6/23,0.098540146,0.098540146,0.040145985,0.459854015,0.237226277,0.065693431,,,,,,,,,
6/7/23,0.097826087,0.101449275,0.047101449,0.456521739,0.231884058,0.065217391,,,,,,,,,
6/8/23,0.098901099,0.098901099,0.043956044,0.457875458,0.234432234,0.065934066,,,,,,,,,
6/9/23,0.096654275,0.100371747,0.040892193,0.460966543,0.234200743,0.066914498,,,,,,,,,
6/10/23,0.099601594,0.099601594,0.039840637,0.458167331,0.235059761,0.067729084,,,,,,,,,
6/11/23,0.102272727,0.098484848,0.037878788,0.450757576,0.242424242,0.068181818,,,,,,,,,
6/12/23,0.092651757,0.099041534,0.038338658,0.463258786,0.239616613,0.067092652,,,,,,,,,
6/13/23,0.094043887,0.094043887,0.040752351,0.467084639,0.235109718,0.068965517,,,,,,,,,
6/14/23,0.095394737,0.098684211,0.039473684,0.467105263,0.230263158,0.069078947,,,,,,,,,
6/15/23,0.095709571,0.099009901,0.03960396,0.465346535,0.231023102,0.069306931,,,,,,,,,
6/16/23,0.096153846,0.099358974,0.038461538,0.467948718,0.227564103,0.070512821,,,,,,,,,
6/17/23,0.103942652,0.096774194,0.043010753,0.462365591,0.225806452,0.068100358,,,,,,,,,
6/18/23,0.102272727,0.098484848,0.037878788,0.454545455,0.238636364,0.068181818,,,,,,,,,
6/19/23,0.096551724,0.1,0.034482759,0.448275862,0.251724138,0.068965517,,,,,,,,,
6/20/23,0.099315068,0.099315068,0.034246575,0.455479452,0.243150685,0.068493151,,,,,,,,,
6/21/23,0.097902098,0.101398601,0.038461538,0.454545455,0.237762238,0.06993007,,,,,,,,,
6/22/23,0.096885813,0.100346021,0.038062284,0.456747405,0.238754325,0.069204152,,,,,,,,,
